date,model,actual_case,non_trained_actual_case
2020-01-22,32.24308693889845,8.0,
2020-01-23,37.80738623368316,14.0,
2020-01-24,44.23825820980037,25.0,
2020-01-25,51.63688702232887,35.0,
2020-01-26,60.10443613892669,56.0,
2020-01-27,69.7374378216439,64.0,
2020-01-28,80.62187508772452,84.0,
2020-01-29,92.82603115153704,96.0,
2020-01-30,106.39239356027196,110.0,
2020-01-31,121.32916823563124,144.0,
2020-02-01,137.6022481235113,167.0,
2020-02-02,155.12873009610803,180.0,
2020-02-03,173.77319791505366,188.0,
2020-02-04,193.3479014840485,212.0,
2020-02-05,213.61760617916406,227.0,
2020-02-06,234.30926963499445,265.0,
2020-02-07,255.1259239166022,256.0,
2020-02-08,275.76337320756636,282.0,
2020-02-09,295.9277646339077,297.0,
2020-02-10,315.3519128412102,322.0,
2020-02-11,333.8085107880575,341.0,
2020-02-12,351.11896429750783,348.0,
2020-02-13,367.15737281512855,363.0,
2020-02-14,381.84994010228866,377.0,
2020-02-15,395.17067294382923,400.0,
2020-02-16,407.1345325665865,425.0,
2020-02-17,417.7892475736217,442.0,
2020-02-18,427.20684401120525,457.0,
2020-02-19,435.47568626332935,,472.0
2020-02-20,442.69353306529825,,
2020-02-21,448.961853173165,,
2020-02-22,454.3814446858817,,
2020-02-23,459.0492677761883,,
2020-02-24,463.0563254947684,,
2020-02-25,466.4863976881395,,
2020-02-26,469.4154341740466,,
2020-02-27,471.9114324009578,,
2020-02-28,474.03465229461466,,
2020-02-29,475.83805044796856,,
2020-03-01,477.36784344377804,,
2020-03-02,478.6641340235165,,
2020-03-03,479.76155339844416,,
2020-03-04,480.68988834527863,,
2020-03-05,481.4746733240105,,
2020-03-06,482.13773632787246,,
2020-03-07,482.6976931625867,,
2020-03-08,483.17038892951336,,
2020-03-09,483.5692881407198,,
2020-03-10,483.9058165139522,,
2020-03-11,484.18965838551077,,
2020-03-12,484.4290140683314,,
2020-03-13,484.6308215401302,,
2020-03-14,484.8009466941255,,
2020-03-15,484.94434610850107,,
2020-03-16,485.0652059496293,,
2020-03-17,485.1670602577634,,
2020-03-18,485.25289149809987,,
2020-03-19,485.32521591060896,,
2020-03-20,485.38615586781685,,
2020-03-21,485.43750115520805,,
2020-03-22,485.4807608254566,,
