date,model,actual_case,non_trained_actual_case
2020-02-02,12.717510290535015,0.0,
2020-02-03,16.120339372210893,0.0,
2020-02-04,20.424641707029018,0.0,
2020-02-05,25.863792183969956,0.0,
2020-02-06,32.728319091696655,0.0,
2020-02-07,41.377952216486904,61.0,
2020-02-08,52.25503434584654,61.0,
2020-02-09,65.89867927257963,64.0,
2020-02-10,82.95844968186208,135.0,
2020-02-11,104.20542322280218,135.0,
2020-02-12,130.53726543902604,175.0,
2020-02-13,162.9723592801473,175.0,
2020-02-14,202.6263446264491,218.0,
2020-02-15,250.6630882045715,285.0,
2020-02-16,308.2120587406247,355.0,
2020-02-17,376.24671097274256,454.0,
2020-02-18,455.4253488458986,542.0,
2020-02-19,545.907934962956,,621.0
2020-02-20,647.1782061233911,,
2020-02-21,757.9154200290432,,
2020-02-22,875.9657226541543,,
2020-02-23,998.4508430888618,,
2020-02-24,1122.0190471393848,,
2020-02-25,1243.199062856748,,
2020-02-26,1358.781161535558,,
2020-02-27,1466.1394195944595,,
2020-02-28,1563.430924462494,,
2020-02-29,1649.649661393941,,
2020-03-01,1724.5545528623204,,
2020-03-02,1788.5165023875454,,
2020-03-03,1842.3339879953103,,
2020-03-04,1887.0564419491484,,
2020-03-05,1923.8385113402594,,
2020-03-06,1953.8335282399755,,
2020-03-07,1978.1244724451103,,
2020-03-08,1997.6856171185918,,
2020-03-09,2013.366618635203,,
2020-03-10,2025.8914854659404,,
2020-03-11,2035.866414506504,,
2020-03-12,2043.792169635799,,
2020-03-13,2050.078136253032,,
2020-03-14,2055.056301949153,,
2020-03-15,2058.9941988415544,,
2020-03-16,2062.106359162604,,
2020-03-17,2064.56415330349,,
2020-03-18,2066.5040606594102,,
2020-03-19,2068.0345160455313,,
2020-03-20,2069.2415121747863,,
2020-03-21,2070.1931446281046,,
2020-03-22,2070.9432746528178,,
2020-03-23,2071.5344660830992,,
2020-03-24,2072.0003310267666,,
2020-03-25,2072.3673976551668,,
2020-03-26,2072.65659394598,,
2020-03-27,2072.884424171006,,
2020-03-28,2073.063900409764,,
2020-03-29,2073.2052792651243,,
2020-03-30,2073.316644000649,,
2020-03-31,2073.404364213349,,
2020-04-01,2073.473458606422,,
2020-04-02,2073.527881165711,,
