variable,value,date
Algeria_nan,0,2020-02-21
Algeria_nan,0,2020-02-22
Algeria_nan,0,2020-02-23
Algeria_nan,0,2020-02-24
Algeria_nan,1,2020-02-25
Algeria_nan,1,2020-02-26
Algeria_nan,1,2020-02-27
Algeria_nan,1,2020-02-28
Algeria_nan,1,2020-02-29
Algeria_nan,1,2020-03-01
Algeria_nan,3,2020-03-02
Algeria_nan,5,2020-03-03
Algeria_nan,12,2020-03-04
Algeria_nan,12,2020-03-05
Algeria_nan,17,2020-03-06
Algeria_nan,17,2020-03-07
Algeria_nan,19,2020-03-08
Algeria_nan,20,2020-03-09
Algeria_nan,20,2020-03-10
Algeria_nan,20,2020-03-11
Algeria_nan,24,2020-03-12
Algeria_nan,26,2020-03-13
Algeria_nan,37,2020-03-14
Algeria_nan,48,2020-03-15
Algeria_nan,54,2020-03-16
Algeria_nan,60,2020-03-17
Algeria_nan,74,2020-03-18
Algeria_nan,87,2020-03-19
Algeria_nan,90,2020-03-20
Algeria_nan,139,2020-03-21
Algeria_nan,201,2020-03-22
Algeria_nan,230,2020-03-23
Algeria_nan,264,2020-03-24
Algeria_nan,302,2020-03-25
Algeria_nan,367,2020-03-26
Andorra_nan,0,2020-01-22
Andorra_nan,0,2020-01-23
Andorra_nan,0,2020-01-24
Andorra_nan,0,2020-01-25
Andorra_nan,0,2020-01-26
Andorra_nan,0,2020-01-27
Andorra_nan,0,2020-01-28
Andorra_nan,0,2020-01-29
Andorra_nan,0,2020-01-30
Andorra_nan,0,2020-01-31
Andorra_nan,0,2020-02-01
Andorra_nan,0,2020-02-02
Andorra_nan,0,2020-02-03
Andorra_nan,0,2020-02-04
Andorra_nan,0,2020-02-05
Andorra_nan,0,2020-02-06
Andorra_nan,0,2020-02-07
Andorra_nan,0,2020-02-08
Andorra_nan,0,2020-02-09
Andorra_nan,0,2020-02-10
Andorra_nan,0,2020-02-11
Andorra_nan,0,2020-02-12
Andorra_nan,0,2020-02-13
Andorra_nan,0,2020-02-14
Andorra_nan,0,2020-02-15
Andorra_nan,0,2020-02-16
Andorra_nan,0,2020-02-17
Andorra_nan,0,2020-02-18
Andorra_nan,0,2020-02-19
Andorra_nan,0,2020-02-20
Andorra_nan,0,2020-02-21
Andorra_nan,0,2020-02-22
Andorra_nan,0,2020-02-23
Andorra_nan,0,2020-02-24
Andorra_nan,0,2020-02-25
Andorra_nan,0,2020-02-26
Andorra_nan,0,2020-02-27
Andorra_nan,0,2020-02-28
Andorra_nan,0,2020-02-29
Andorra_nan,0,2020-03-01
Andorra_nan,1,2020-03-02
Andorra_nan,1,2020-03-03
Andorra_nan,1,2020-03-04
Andorra_nan,1,2020-03-05
Andorra_nan,1,2020-03-06
Andorra_nan,1,2020-03-07
Andorra_nan,1,2020-03-08
Andorra_nan,1,2020-03-09
Andorra_nan,1,2020-03-10
Andorra_nan,1,2020-03-11
Andorra_nan,1,2020-03-12
Andorra_nan,1,2020-03-13
Andorra_nan,1,2020-03-14
Andorra_nan,1,2020-03-15
Andorra_nan,2,2020-03-16
Andorra_nan,39,2020-03-17
Andorra_nan,39,2020-03-18
Andorra_nan,53,2020-03-19
Andorra_nan,75,2020-03-20
Andorra_nan,88,2020-03-21
Andorra_nan,113,2020-03-22
Andorra_nan,133,2020-03-23
Andorra_nan,164,2020-03-24
Andorra_nan,188,2020-03-25
Andorra_nan,224,2020-03-26
Angola_nan,0,2020-01-22
Angola_nan,0,2020-01-23
Angola_nan,0,2020-01-24
Angola_nan,0,2020-01-25
Angola_nan,0,2020-01-26
Angola_nan,0,2020-01-27
Angola_nan,0,2020-01-28
Angola_nan,0,2020-01-29
Angola_nan,0,2020-01-30
Angola_nan,0,2020-01-31
Angola_nan,0,2020-02-01
Angola_nan,0,2020-02-02
Angola_nan,0,2020-02-03
Angola_nan,0,2020-02-04
Angola_nan,0,2020-02-05
Angola_nan,0,2020-02-06
Angola_nan,0,2020-02-07
Angola_nan,0,2020-02-08
Angola_nan,0,2020-02-09
Angola_nan,0,2020-02-10
Angola_nan,0,2020-02-11
Angola_nan,0,2020-02-12
Angola_nan,0,2020-02-13
Angola_nan,0,2020-02-14
Angola_nan,0,2020-02-15
Angola_nan,0,2020-02-16
Angola_nan,0,2020-02-17
Angola_nan,0,2020-02-18
Angola_nan,0,2020-02-19
Angola_nan,0,2020-02-20
Angola_nan,0,2020-02-21
Angola_nan,0,2020-02-22
Angola_nan,0,2020-02-23
Angola_nan,0,2020-02-24
Angola_nan,0,2020-02-25
Angola_nan,0,2020-02-26
Angola_nan,0,2020-02-27
Angola_nan,0,2020-02-28
Angola_nan,0,2020-02-29
Angola_nan,0,2020-03-01
Angola_nan,0,2020-03-02
Angola_nan,0,2020-03-03
Angola_nan,0,2020-03-04
Angola_nan,0,2020-03-05
Angola_nan,0,2020-03-06
Angola_nan,0,2020-03-07
Angola_nan,0,2020-03-08
Angola_nan,0,2020-03-09
Angola_nan,0,2020-03-10
Angola_nan,0,2020-03-11
Angola_nan,0,2020-03-12
Angola_nan,0,2020-03-13
Angola_nan,0,2020-03-14
Angola_nan,0,2020-03-15
Angola_nan,0,2020-03-16
Angola_nan,0,2020-03-17
Angola_nan,0,2020-03-18
Angola_nan,0,2020-03-19
Angola_nan,1,2020-03-20
Angola_nan,2,2020-03-21
Angola_nan,2,2020-03-22
Angola_nan,3,2020-03-23
Angola_nan,3,2020-03-24
Angola_nan,3,2020-03-25
Angola_nan,4,2020-03-26
Antigua_and_Barbuda_nan,0,2020-01-22
Antigua_and_Barbuda_nan,0,2020-01-23
Antigua_and_Barbuda_nan,0,2020-01-24
Antigua_and_Barbuda_nan,0,2020-01-25
Antigua_and_Barbuda_nan,0,2020-01-26
Antigua_and_Barbuda_nan,0,2020-01-27
Antigua_and_Barbuda_nan,0,2020-01-28
Antigua_and_Barbuda_nan,0,2020-01-29
Antigua_and_Barbuda_nan,0,2020-01-30
Antigua_and_Barbuda_nan,0,2020-01-31
Antigua_and_Barbuda_nan,0,2020-02-01
Antigua_and_Barbuda_nan,0,2020-02-02
Antigua_and_Barbuda_nan,0,2020-02-03
Antigua_and_Barbuda_nan,0,2020-02-04
Antigua_and_Barbuda_nan,0,2020-02-05
Antigua_and_Barbuda_nan,0,2020-02-06
Antigua_and_Barbuda_nan,0,2020-02-07
Antigua_and_Barbuda_nan,0,2020-02-08
Antigua_and_Barbuda_nan,0,2020-02-09
Antigua_and_Barbuda_nan,0,2020-02-10
Antigua_and_Barbuda_nan,0,2020-02-11
Antigua_and_Barbuda_nan,0,2020-02-12
Antigua_and_Barbuda_nan,0,2020-02-13
Antigua_and_Barbuda_nan,0,2020-02-14
Antigua_and_Barbuda_nan,0,2020-02-15
Antigua_and_Barbuda_nan,0,2020-02-16
Antigua_and_Barbuda_nan,0,2020-02-17
Antigua_and_Barbuda_nan,0,2020-02-18
Antigua_and_Barbuda_nan,0,2020-02-19
Antigua_and_Barbuda_nan,0,2020-02-20
Antigua_and_Barbuda_nan,0,2020-02-21
Antigua_and_Barbuda_nan,0,2020-02-22
Antigua_and_Barbuda_nan,0,2020-02-23
Antigua_and_Barbuda_nan,0,2020-02-24
Antigua_and_Barbuda_nan,0,2020-02-25
Antigua_and_Barbuda_nan,0,2020-02-26
Antigua_and_Barbuda_nan,0,2020-02-27
Antigua_and_Barbuda_nan,0,2020-02-28
Antigua_and_Barbuda_nan,0,2020-02-29
Antigua_and_Barbuda_nan,0,2020-03-01
Antigua_and_Barbuda_nan,0,2020-03-02
Antigua_and_Barbuda_nan,0,2020-03-03
Antigua_and_Barbuda_nan,0,2020-03-04
Antigua_and_Barbuda_nan,0,2020-03-05
Antigua_and_Barbuda_nan,0,2020-03-06
Antigua_and_Barbuda_nan,0,2020-03-07
Antigua_and_Barbuda_nan,0,2020-03-08
Antigua_and_Barbuda_nan,0,2020-03-09
Antigua_and_Barbuda_nan,0,2020-03-10
Antigua_and_Barbuda_nan,0,2020-03-11
Antigua_and_Barbuda_nan,0,2020-03-12
Antigua_and_Barbuda_nan,1,2020-03-13
Antigua_and_Barbuda_nan,1,2020-03-14
Antigua_and_Barbuda_nan,1,2020-03-15
Antigua_and_Barbuda_nan,1,2020-03-16
Antigua_and_Barbuda_nan,1,2020-03-17
Antigua_and_Barbuda_nan,1,2020-03-18
Antigua_and_Barbuda_nan,1,2020-03-19
Antigua_and_Barbuda_nan,1,2020-03-20
Antigua_and_Barbuda_nan,1,2020-03-21
Antigua_and_Barbuda_nan,1,2020-03-22
Antigua_and_Barbuda_nan,3,2020-03-23
Antigua_and_Barbuda_nan,3,2020-03-24
Antigua_and_Barbuda_nan,3,2020-03-25
Antigua_and_Barbuda_nan,7,2020-03-26
Argentina_nan,0,2020-01-22
Argentina_nan,0,2020-01-23
Argentina_nan,0,2020-01-24
Argentina_nan,0,2020-01-25
Argentina_nan,0,2020-01-26
Argentina_nan,0,2020-01-27
Argentina_nan,0,2020-01-28
Argentina_nan,0,2020-01-29
Argentina_nan,0,2020-01-30
Argentina_nan,0,2020-01-31
Argentina_nan,0,2020-02-01
Argentina_nan,0,2020-02-02
Argentina_nan,0,2020-02-03
Argentina_nan,0,2020-02-04
Argentina_nan,0,2020-02-05
Argentina_nan,0,2020-02-06
Argentina_nan,0,2020-02-07
Argentina_nan,0,2020-02-08
Argentina_nan,0,2020-02-09
Argentina_nan,0,2020-02-10
Argentina_nan,0,2020-02-11
Argentina_nan,0,2020-02-12
Argentina_nan,0,2020-02-13
Argentina_nan,0,2020-02-14
Argentina_nan,0,2020-02-15
Argentina_nan,0,2020-02-16
Argentina_nan,0,2020-02-17
Argentina_nan,0,2020-02-18
Argentina_nan,0,2020-02-19
Argentina_nan,0,2020-02-20
Argentina_nan,0,2020-02-21
Argentina_nan,0,2020-02-22
Argentina_nan,0,2020-02-23
Argentina_nan,0,2020-02-24
Argentina_nan,0,2020-02-25
Argentina_nan,0,2020-02-26
Argentina_nan,0,2020-02-27
Argentina_nan,0,2020-02-28
Argentina_nan,0,2020-02-29
Argentina_nan,0,2020-03-01
Argentina_nan,0,2020-03-02
Argentina_nan,1,2020-03-03
Argentina_nan,1,2020-03-04
Argentina_nan,1,2020-03-05
Argentina_nan,2,2020-03-06
Argentina_nan,8,2020-03-07
Argentina_nan,12,2020-03-08
Argentina_nan,12,2020-03-09
Argentina_nan,17,2020-03-10
Argentina_nan,19,2020-03-11
Argentina_nan,19,2020-03-12
Argentina_nan,31,2020-03-13
Argentina_nan,34,2020-03-14
Argentina_nan,45,2020-03-15
Argentina_nan,56,2020-03-16
Argentina_nan,68,2020-03-17
Argentina_nan,79,2020-03-18
Argentina_nan,97,2020-03-19
Argentina_nan,128,2020-03-20
Argentina_nan,158,2020-03-21
Argentina_nan,266,2020-03-22
Argentina_nan,301,2020-03-23
Argentina_nan,387,2020-03-24
Argentina_nan,387,2020-03-25
Argentina_nan,502,2020-03-26
Armenia_nan,0,2020-01-22
Armenia_nan,0,2020-01-23
Armenia_nan,0,2020-01-24
Armenia_nan,0,2020-01-25
Armenia_nan,0,2020-01-26
Armenia_nan,0,2020-01-27
Armenia_nan,0,2020-01-28
Armenia_nan,0,2020-01-29
Armenia_nan,0,2020-01-30
Armenia_nan,0,2020-01-31
Armenia_nan,0,2020-02-01
Armenia_nan,0,2020-02-02
Armenia_nan,0,2020-02-03
Armenia_nan,0,2020-02-04
Armenia_nan,0,2020-02-05
Armenia_nan,0,2020-02-06
Armenia_nan,0,2020-02-07
Armenia_nan,0,2020-02-08
Armenia_nan,0,2020-02-09
Armenia_nan,0,2020-02-10
Armenia_nan,0,2020-02-11
Armenia_nan,0,2020-02-12
Armenia_nan,0,2020-02-13
Armenia_nan,0,2020-02-14
Armenia_nan,0,2020-02-15
Armenia_nan,0,2020-02-16
Armenia_nan,0,2020-02-17
Armenia_nan,0,2020-02-18
Armenia_nan,0,2020-02-19
Armenia_nan,0,2020-02-20
Armenia_nan,0,2020-02-21
Armenia_nan,0,2020-02-22
Armenia_nan,0,2020-02-23
Armenia_nan,0,2020-02-24
Armenia_nan,0,2020-02-25
Armenia_nan,0,2020-02-26
Armenia_nan,0,2020-02-27
Armenia_nan,0,2020-02-28
Armenia_nan,0,2020-02-29
Armenia_nan,1,2020-03-01
Armenia_nan,1,2020-03-02
Armenia_nan,1,2020-03-03
Armenia_nan,1,2020-03-04
Armenia_nan,1,2020-03-05
Armenia_nan,1,2020-03-06
Armenia_nan,1,2020-03-07
Armenia_nan,1,2020-03-08
Armenia_nan,1,2020-03-09
Armenia_nan,1,2020-03-10
Armenia_nan,1,2020-03-11
Armenia_nan,4,2020-03-12
Armenia_nan,8,2020-03-13
Armenia_nan,18,2020-03-14
Armenia_nan,26,2020-03-15
Armenia_nan,52,2020-03-16
Armenia_nan,78,2020-03-17
Armenia_nan,84,2020-03-18
Armenia_nan,115,2020-03-19
Armenia_nan,136,2020-03-20
Armenia_nan,160,2020-03-21
Armenia_nan,194,2020-03-22
Armenia_nan,235,2020-03-23
Armenia_nan,249,2020-03-24
Armenia_nan,265,2020-03-25
Armenia_nan,290,2020-03-26
Australia_Australian_Capital_Territory,0,2020-01-22
Australia_Australian_Capital_Territory,0,2020-01-23
Australia_Australian_Capital_Territory,0,2020-01-24
Australia_Australian_Capital_Territory,0,2020-01-25
Australia_Australian_Capital_Territory,0,2020-01-26
Australia_Australian_Capital_Territory,0,2020-01-27
Australia_Australian_Capital_Territory,0,2020-01-28
Australia_Australian_Capital_Territory,0,2020-01-29
Australia_Australian_Capital_Territory,0,2020-01-30
Australia_Australian_Capital_Territory,0,2020-01-31
Australia_Australian_Capital_Territory,0,2020-02-01
Australia_Australian_Capital_Territory,0,2020-02-02
Australia_Australian_Capital_Territory,0,2020-02-03
Australia_Australian_Capital_Territory,0,2020-02-04
Australia_Australian_Capital_Territory,0,2020-02-05
Australia_Australian_Capital_Territory,0,2020-02-06
Australia_Australian_Capital_Territory,0,2020-02-07
Australia_Australian_Capital_Territory,0,2020-02-08
Australia_Australian_Capital_Territory,0,2020-02-09
Australia_Australian_Capital_Territory,0,2020-02-10
Australia_Australian_Capital_Territory,0,2020-02-11
Australia_Australian_Capital_Territory,0,2020-02-12
Australia_Australian_Capital_Territory,0,2020-02-13
Australia_Australian_Capital_Territory,0,2020-02-14
Australia_Australian_Capital_Territory,0,2020-02-15
Australia_Australian_Capital_Territory,0,2020-02-16
Australia_Australian_Capital_Territory,0,2020-02-17
Australia_Australian_Capital_Territory,0,2020-02-18
Australia_Australian_Capital_Territory,0,2020-02-19
Australia_Australian_Capital_Territory,0,2020-02-20
Australia_Australian_Capital_Territory,0,2020-02-21
Australia_Australian_Capital_Territory,0,2020-02-22
Australia_Australian_Capital_Territory,0,2020-02-23
Australia_Australian_Capital_Territory,0,2020-02-24
Australia_Australian_Capital_Territory,0,2020-02-25
Australia_Australian_Capital_Territory,0,2020-02-26
Australia_Australian_Capital_Territory,0,2020-02-27
Australia_Australian_Capital_Territory,0,2020-02-28
Australia_Australian_Capital_Territory,0,2020-02-29
Australia_Australian_Capital_Territory,0,2020-03-01
Australia_Australian_Capital_Territory,0,2020-03-02
Australia_Australian_Capital_Territory,0,2020-03-03
Australia_Australian_Capital_Territory,0,2020-03-04
Australia_Australian_Capital_Territory,0,2020-03-05
Australia_Australian_Capital_Territory,0,2020-03-06
Australia_Australian_Capital_Territory,0,2020-03-07
Australia_Australian_Capital_Territory,0,2020-03-08
Australia_Australian_Capital_Territory,0,2020-03-09
Australia_Australian_Capital_Territory,0,2020-03-10
Australia_Australian_Capital_Territory,0,2020-03-11
Australia_Australian_Capital_Territory,0,2020-03-12
Australia_Australian_Capital_Territory,1,2020-03-13
Australia_Australian_Capital_Territory,1,2020-03-14
Australia_Australian_Capital_Territory,1,2020-03-15
Australia_Australian_Capital_Territory,2,2020-03-16
Australia_Australian_Capital_Territory,2,2020-03-17
Australia_Australian_Capital_Territory,3,2020-03-18
Australia_Australian_Capital_Territory,4,2020-03-19
Australia_Australian_Capital_Territory,6,2020-03-20
Australia_Australian_Capital_Territory,9,2020-03-21
Australia_Australian_Capital_Territory,19,2020-03-22
Australia_Australian_Capital_Territory,32,2020-03-23
Australia_Australian_Capital_Territory,39,2020-03-24
Australia_Australian_Capital_Territory,39,2020-03-25
Australia_Australian_Capital_Territory,53,2020-03-26
Australia_New_South_Wales,0,2020-01-22
Australia_New_South_Wales,0,2020-01-23
Australia_New_South_Wales,0,2020-01-24
Australia_New_South_Wales,0,2020-01-25
Australia_New_South_Wales,3,2020-01-26
Australia_New_South_Wales,4,2020-01-27
Australia_New_South_Wales,4,2020-01-28
Australia_New_South_Wales,4,2020-01-29
Australia_New_South_Wales,4,2020-01-30
Australia_New_South_Wales,4,2020-01-31
Australia_New_South_Wales,4,2020-02-01
Australia_New_South_Wales,4,2020-02-02
Australia_New_South_Wales,4,2020-02-03
Australia_New_South_Wales,4,2020-02-04
Australia_New_South_Wales,4,2020-02-05
Australia_New_South_Wales,4,2020-02-06
Australia_New_South_Wales,4,2020-02-07
Australia_New_South_Wales,4,2020-02-08
Australia_New_South_Wales,4,2020-02-09
Australia_New_South_Wales,4,2020-02-10
Australia_New_South_Wales,4,2020-02-11
Australia_New_South_Wales,4,2020-02-12
Australia_New_South_Wales,4,2020-02-13
Australia_New_South_Wales,4,2020-02-14
Australia_New_South_Wales,4,2020-02-15
Australia_New_South_Wales,4,2020-02-16
Australia_New_South_Wales,4,2020-02-17
Australia_New_South_Wales,4,2020-02-18
Australia_New_South_Wales,4,2020-02-19
Australia_New_South_Wales,4,2020-02-20
Australia_New_South_Wales,4,2020-02-21
Australia_New_South_Wales,4,2020-02-22
Australia_New_South_Wales,4,2020-02-23
Australia_New_South_Wales,4,2020-02-24
Australia_New_South_Wales,4,2020-02-25
Australia_New_South_Wales,4,2020-02-26
Australia_New_South_Wales,4,2020-02-27
Australia_New_South_Wales,4,2020-02-28
Australia_New_South_Wales,4,2020-02-29
Australia_New_South_Wales,6,2020-03-01
Australia_New_South_Wales,6,2020-03-02
Australia_New_South_Wales,13,2020-03-03
Australia_New_South_Wales,22,2020-03-04
Australia_New_South_Wales,22,2020-03-05
Australia_New_South_Wales,26,2020-03-06
Australia_New_South_Wales,28,2020-03-07
Australia_New_South_Wales,38,2020-03-08
Australia_New_South_Wales,48,2020-03-09
Australia_New_South_Wales,55,2020-03-10
Australia_New_South_Wales,65,2020-03-11
Australia_New_South_Wales,65,2020-03-12
Australia_New_South_Wales,92,2020-03-13
Australia_New_South_Wales,112,2020-03-14
Australia_New_South_Wales,134,2020-03-15
Australia_New_South_Wales,171,2020-03-16
Australia_New_South_Wales,210,2020-03-17
Australia_New_South_Wales,267,2020-03-18
Australia_New_South_Wales,307,2020-03-19
Australia_New_South_Wales,353,2020-03-20
Australia_New_South_Wales,436,2020-03-21
Australia_New_South_Wales,669,2020-03-22
Australia_New_South_Wales,669,2020-03-23
Australia_New_South_Wales,818,2020-03-24
Australia_New_South_Wales,1029,2020-03-25
Australia_New_South_Wales,1219,2020-03-26
Australia_Northern_Territory,0,2020-01-22
Australia_Northern_Territory,0,2020-01-23
Australia_Northern_Territory,0,2020-01-24
Australia_Northern_Territory,0,2020-01-25
Australia_Northern_Territory,0,2020-01-26
Australia_Northern_Territory,0,2020-01-27
Australia_Northern_Territory,0,2020-01-28
Australia_Northern_Territory,0,2020-01-29
Australia_Northern_Territory,0,2020-01-30
Australia_Northern_Territory,0,2020-01-31
Australia_Northern_Territory,0,2020-02-01
Australia_Northern_Territory,0,2020-02-02
Australia_Northern_Territory,0,2020-02-03
Australia_Northern_Territory,0,2020-02-04
Australia_Northern_Territory,0,2020-02-05
Australia_Northern_Territory,0,2020-02-06
Australia_Northern_Territory,0,2020-02-07
Australia_Northern_Territory,0,2020-02-08
Australia_Northern_Territory,0,2020-02-09
Australia_Northern_Territory,0,2020-02-10
Australia_Northern_Territory,0,2020-02-11
Australia_Northern_Territory,0,2020-02-12
Australia_Northern_Territory,0,2020-02-13
Australia_Northern_Territory,0,2020-02-14
Australia_Northern_Territory,0,2020-02-15
Australia_Northern_Territory,0,2020-02-16
Australia_Northern_Territory,0,2020-02-17
Australia_Northern_Territory,0,2020-02-18
Australia_Northern_Territory,0,2020-02-19
Australia_Northern_Territory,0,2020-02-20
Australia_Northern_Territory,0,2020-02-21
Australia_Northern_Territory,0,2020-02-22
Australia_Northern_Territory,0,2020-02-23
Australia_Northern_Territory,0,2020-02-24
Australia_Northern_Territory,0,2020-02-25
Australia_Northern_Territory,0,2020-02-26
Australia_Northern_Territory,0,2020-02-27
Australia_Northern_Territory,0,2020-02-28
Australia_Northern_Territory,0,2020-02-29
Australia_Northern_Territory,0,2020-03-01
Australia_Northern_Territory,0,2020-03-02
Australia_Northern_Territory,0,2020-03-03
Australia_Northern_Territory,1,2020-03-04
Australia_Northern_Territory,1,2020-03-05
Australia_Northern_Territory,0,2020-03-06
Australia_Northern_Territory,0,2020-03-07
Australia_Northern_Territory,0,2020-03-08
Australia_Northern_Territory,0,2020-03-09
Australia_Northern_Territory,1,2020-03-10
Australia_Northern_Territory,1,2020-03-11
Australia_Northern_Territory,1,2020-03-12
Australia_Northern_Territory,1,2020-03-13
Australia_Northern_Territory,1,2020-03-14
Australia_Northern_Territory,1,2020-03-15
Australia_Northern_Territory,1,2020-03-16
Australia_Northern_Territory,1,2020-03-17
Australia_Northern_Territory,1,2020-03-18
Australia_Northern_Territory,1,2020-03-19
Australia_Northern_Territory,3,2020-03-20
Australia_Northern_Territory,3,2020-03-21
Australia_Northern_Territory,5,2020-03-22
Australia_Northern_Territory,5,2020-03-23
Australia_Northern_Territory,6,2020-03-24
Australia_Northern_Territory,6,2020-03-25
Australia_Northern_Territory,12,2020-03-26
Australia_Queensland,0,2020-01-22
Australia_Queensland,0,2020-01-23
Australia_Queensland,0,2020-01-24
Australia_Queensland,0,2020-01-25
Australia_Queensland,0,2020-01-26
Australia_Queensland,0,2020-01-27
Australia_Queensland,0,2020-01-28
Australia_Queensland,1,2020-01-29
Australia_Queensland,3,2020-01-30
Australia_Queensland,2,2020-01-31
Australia_Queensland,3,2020-02-01
Australia_Queensland,2,2020-02-02
Australia_Queensland,2,2020-02-03
Australia_Queensland,3,2020-02-04
