date,Hubei,China,World
2020-01-22,1083.4148748053854,39.34217822667336,458.51995438099607
2020-01-23,1329.1177327929372,45.015194809918626,588.2119088611571
2020-01-24,1629.2978402144408,51.42842113177373,752.3081609231741
2020-01-25,1995.4125397171372,58.65514134957582,958.5203187472174
2020-01-26,2441.0219852258033,66.76906820813382,1215.4420541483921
2020-01-27,2982.023932148638,75.84211526122266,1532.140755681383
2020-01-28,3636.8363539051957,85.9415944242023,1917.4219516014723
2020-01-29,4426.478138031177,97.12683997903457,2378.7054384506073
2020-01-30,5374.479032300076,109.44531716546076,2920.5319768620943
2020-01-31,6506.529660175667,122.92834817944944,3542.8640590845916
2020-02-01,7849.765133295646,137.58667679364217,4239.532788262698
2020-02-02,9431.569283229534,153.40618591511415,4997.340178958136
2020-02-03,11277.80242355789,170.34416564630942,5796.33168329225
2020-02-04,13410.408270205038,188.32658361102617,6611.508676862867
2020-02-05,15844.45844304502,207.24681352007389,7415.782145356922
2020-02-06,18584.849839315295,226.96621453465872,8183.477976728995
2020-02-07,21623.064475115683,247.3168148540104,8893.466604109413
2020-02-08,24934.585887678062,268.1061453034975,9531.152775966979
2020-02-09,28477.66373397335,289.12401771387556,10089.022925771003
2020-02-10,32194.043373457127,310.15078928184573,10565.941215052368
2020-02-11,36011.98011965355,330.9664459419358,10965.682142588877
2020-02-12,39851.3725137482,351.35971826201956,11295.22617504769
2020-02-13,43630.31097443874,371.1364385620109,11563.2072990631
2020-02-14,47271.94247650761,390.1264589143713,11778.711202327519
2020-02-15,50710.46008199352,408.1886521597734,11950.466355838302
2020-02-16,53895.277414969,425.21376981434344,12086.377874637295
2020-02-17,56792.93668327478,441.12518361042845,12193.318178319678
2020-02-18,59386.834063215094,455.87774971637674,12277.088216938588
2020-02-19,61675.25236463187,469.45517982082197,12342.479115363636
2020-02-20,63668.37971746328,481.86637264354556,12393.38405540401
2020-02-21,65384.9757064142,493.1411600929386,12432.92791350897
2020-02-22,66849.19625828395,503.325871345643,12463.595568817946
2020-02-23,68087.89138500934,512.4790364519156,12487.348953385805
2020-02-24,69128.5096529758,520.667458151001,12505.72868852086
2020-02-25,69997.61174659502,527.962791402551,12519.939514640853
2020-02-26,70719.91798053136,534.438694144118,12530.920502013923
2020-02-27,71317.78139426926,540.1685543028848,12539.401834241253
2020-02-28,71810.97457452612,545.223757574404,12545.950197366556
2020-02-29,72216.69123056326,549.6724359366586,12551.004747663632
2020-03-01,72549.68303791533,553.5786251100131,12554.905429277482
2020-03-02,72822.47237749174,557.0017567514127,12557.915160047696
2020-03-03,73045.59928391423,559.9964149334705,12560.237148931343
2020-03-04,73227.87506554199,562.612293829967,12562.028375225838
2020-03-05,73376.62564337958,564.8943025798851,12563.41005769013
2020-03-06,73497.91515917047,566.8827727020617,12564.475772357995
2020-03-07,73596.74546712602,568.6137323449914,12565.297739176858
2020-03-08,73677.23037160999,570.1192196182167,12565.931685812953
2020-03-09,73742.74543086761,571.4276140629395,12566.420607840317
2020-03-10,73796.05522510408,572.5639709513903,12566.797674059915
2020-03-11,73839.42048925947,573.5503476306958,12567.088470309927
2020-03-12,73874.68765179222,574.4061146739391,12567.312731795879
2020-03-13,73903.36324794382,575.1482473154754,12567.48568018303
2020-03-14,73926.67548693187,575.7915946758283,12567.619055417594
2020-03-15,73945.6250098466,576.3491257586433,12567.721911849334
2020-03-16,73961.02661720713,576.8321522462944,12567.801232422455
2020-03-17,73973.543494623,577.2505288313109,12567.862402466408
2020-03-18,73983.71523384308,577.6128322793356,12567.909575155143
2020-03-19,73991.98074012953,577.9265206911458,12567.945953389139
2020-03-20,73998.69693685905,578.1980745675991,12567.97400720441
2020-03-21,74004.15402372011,578.4331213218607,12567.995641449437
2020-03-22,74008.58791382646,578.6365448579753,12568.012325102978
